car_name,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,selling_price
Hyundai Verna,8,47876,Dealer,Diesel,Manual,551000
Mahindra XUV500,3,21500,Individual,Diesel,Automatic,1650000
Hyundai Grand,6,75000,Dealer,Diesel,Manual,350000
Ford Aspire,4,58000,Dealer,Petrol,Manual,500000
Maruti Swift Dzire,3,30000,Individual,Petrol,Manual,575000
Hyundai Grand,3,50000,Individual,Diesel,Manual,545000
Ford Figo,4,19093,Trustmark Dealer,Petrol,Manual,525000
Honda Amaze,7,50000,Individual,Petrol,Manual,400000
Maruti Wagon R,15,37000,Dealer,Petrol,Manual,155000
Maruti Swift Dzire,5,47000,Dealer,Diesel,Manual,545000
Honda City,8,70000,Individual,Petrol,Manual,545000
Renault KWID,5,25000,Individual,Petrol,Manual,240000
Maruti Vitara,3,26000,Dealer,Diesel,Manual,725000
Ford Aspire,4,30000,Individual,Petrol,Manual,480000
Hyundai i20,8,15000,Individual,Petrol,Manual,375000
Maruti Swift,10,160000,Individual,Diesel,Manual,225000
Tata Tiago,4,32100,Individual,Petrol,Manual,400000
Hyundai i20,5,22000,Dealer,Petrol,Manual,550000
Mahindra Scorpio,5,44000,Dealer,Diesel,Manual,1050000
Volkswagen Polo,5,78000,Dealer,Petrol,Manual,450000
Mercedes-Benz C-Class,9,74352,Dealer,Petrol,Automatic,775000
Maruti Wagon R,7,37000,Individual,Petrol,Manual,350000
Honda City,7,69000,Dealer,Diesel,Manual,550000
Kia Seltos,2,12120,Individual,Petrol,Manual,1080000
Maruti Baleno,5,52000,Dealer,Petrol,Manual,575000
Toyota Innova,5,120000,Individual,Diesel,Manual,950000
Maruti Alto,8,55000,Individual,Petrol,Manual,230000
Hyundai i20,10,160000,Individual,Diesel,Manual,270000
Ford Figo,10,40000,Individual,Petrol,Manual,130000
Maruti Swift Dzire,9,46000,Dealer,Petrol,Manual,370000
Maruti Baleno,4,25000,Dealer,Petrol,Manual,570000
Volkswagen Polo,8,90000,Dealer,Diesel,Manual,365000
Hyundai i20,9,49566,Dealer,Petrol,Manual,280000
Hyundai Verna,3,14000,Dealer,Diesel,Automatic,1250000
Hyundai i20,5,11000,Dealer,Petrol,Manual,590000
Maruti Celerio,3,5000,Individual,Petrol,Automatic,475000
Ford Ecosport,4,55000,Dealer,Diesel,Manual,685000
Hyundai Verna,9,65000,Dealer,Diesel,Automatic,380000
Renault KWID,3,22000,Individual,Petrol,Manual,330000
Maruti Baleno,3,7671,Trustmark Dealer,Petrol,Manual,650000
Maruti Wagon R,5,66000,Individual,Petrol,Manual,325000
Maruti Swift Dzire,3,45156,Dealer,Petrol,Automatic,640000
Hyundai Venue,2,25000,Individual,Petrol,Manual,949000
Hyundai Verna,6,120000,Individual,Diesel,Manual,660000
Maruti Swift,7,28000,Dealer,Petrol,Manual,435000
Hyundai i20,8,55000,Dealer,Diesel,Manual,385000
Hyundai Verna,2,14000,Dealer,Diesel,Automatic,1250000
Maruti Wagon R,12,98780,Dealer,Petrol,Manual,155000
Maruti Swift,6,58000,Dealer,Diesel,Manual,415000
Maruti Alto,10,30000,Individual,Petrol,Manual,251000
Mahindra Scorpio,5,46400,Dealer,Diesel,Manual,1150000
Hyundai i10,7,32111,Trustmark Dealer,Petrol,Manual,310000
Datsun GO,6,35000,Individual,Petrol,Manual,350000
Mahindra Scorpio,4,30000,Dealer,Diesel,Manual,1125000
BMW 5,5,63000,Dealer,Diesel,Automatic,2600000
Datsun GO,3,10000,Individual,Petrol,Manual,480000
Maruti Swift Dzire,4,25000,Individual,Diesel,Automatic,850000
Hyundai Creta,4,102000,Dealer,Diesel,Automatic,1100000
Maruti Swift,3,35000,Dealer,Petrol,Manual,575000
Maruti Swift Dzire,9,49948,Dealer,Petrol,Manual,340000
Ford Ecosport,3,55000,Individual,Diesel,Manual,925000
Hyundai Grand,6,36000,Dealer,Petrol,Manual,400000
Honda City,5,49625,Dealer,Petrol,Manual,725000
Maruti Swift Dzire,7,35000,Individual,Diesel,Manual,600000
Mahindra Scorpio,8,95000,Individual,Diesel,Manual,550000
Ford Aspire,4,36000,Dealer,Diesel,Manual,585000
Maruti Wagon R,2,50000,Individual,Petrol,Manual,411000
Maruti Swift Dzire,6,26500,Individual,Petrol,Manual,450000
Honda CR-V,6,80000,Dealer,Petrol,Automatic,1290000
Volkswagen Polo,6,46000,Dealer,Petrol,Manual,455000
Hyundai Grand,2,9000,Individual,Petrol,Manual,710000
Honda City,5,53000,Dealer,Petrol,Manual,770000
Ford Endeavour,3,11387,Individual,Diesel,Automatic,2900000
Honda Amaze,3,50000,Individual,Diesel,Manual,720000
Mahindra KUV,5,52000,Dealer,Diesel,Manual,375000
Datsun GO,6,35000,Individual,Petrol,Manual,400000
Renault Duster,6,48000,Individual,Diesel,Manual,600000
Honda Jazz,3,18000,Individual,Petrol,Manual,600000
Maruti Wagon R,9,57413,Individual,LPG,Manual,270000
Hyundai i20,6,30000,Individual,Petrol,Manual,500000
Hyundai Verna,6,55000,Dealer,Diesel,Manual,650000
Maruti Swift,3,10000,Individual,Petrol,Automatic,660000
BMW 3,5,68000,Dealer,Diesel,Automatic,2090000
Kia Seltos,1,8000,Dealer,Petrol,Manual,1275000
Maruti Swift,6,65000,Dealer,Diesel,Manual,495000
Hyundai Grand,5,25000,Individual,Petrol,Manual,475000
Maruti Ciaz,6,70000,Individual,Petrol,Manual,530000
Tata Tiago,5,9500,Individual,Petrol,Manual,530000
Hyundai Verna,6,9100,Individual,Petrol,Manual,650000
Honda City,11,86000,Dealer,Petrol,Manual,335000
Audi A4,8,78000,Dealer,Diesel,Automatic,1290000
Ford Figo,10,60000,Individual,Diesel,Manual,300000
Maruti Wagon R,2,7883,Trustmark Dealer,Petrol,Automatic,550000
Maruti Swift Dzire,8,50205,Trustmark Dealer,Diesel,Manual,390000
Mahindra Bolero,13,220000,Individual,Diesel,Manual,260000
Tata Tigor,4,58000,Dealer,Diesel,Manual,395000
Mahindra Scorpio,9,170000,Individual,Diesel,Manual,550000
Maruti Swift Dzire,3,15000,Individual,Petrol,Manual,650000
Maruti Swift,5,71245,Dealer,Diesel,Manual,375000
Kia Seltos,2,7000,Individual,Petrol,Manual,1300000
Maruti Alto,3,20000,Individual,Petrol,Manual,360000
Maruti Celerio,1,8700,Individual,Petrol,Manual,505000
Maruti Alto,2,25000,Individual,Petrol,Manual,310000
Hyundai i20,6,42000,Dealer,Petrol,Manual,545000
Mahindra Bolero,15,120000,Individual,Diesel,Manual,150000
Maruti Baleno,3,50000,Individual,Petrol,Manual,580000
Maruti Wagon R,10,58000,Individual,Petrol,Manual,250000
Hyundai Verna,4,36000,Individual,Petrol,Manual,650000
Maruti Ertiga,3,30000,Individual,Diesel,Manual,410000
Ford Ecosport,6,162828,Dealer,Diesel,Manual,531000
Ford Ecosport,3,7500,Individual,Diesel,Manual,890000
Tata Safari,5,47227,Dealer,Diesel,Manual,775000
Maruti Wagon R,3,52000,Dealer,CNG,Manual,435000
Ford Figo,9,74000,Dealer,Diesel,Manual,185000
Mahindra Bolero,10,47000,Dealer,Diesel,Manual,440000
Hyundai i20,6,50000,Individual,Petrol,Manual,450000
Maruti Baleno,4,100000,Individual,Petrol,Manual,600000
Maruti Celerio,7,35000,Individual,Petrol,Manual,320000
Hyundai i20,5,50000,Individual,Diesel,Manual,700000
Ford Aspire,3,10000,Individual,Petrol,Manual,630000
Maruti Alto,5,10370,Individual,Petrol,Manual,320000
Honda City,8,62000,Dealer,Petrol,Manual,465000
Hyundai i20,5,40000,Individual,Petrol,Manual,550000
Maruti Swift,4,60000,Individual,Petrol,Manual,445000
Tata Safari,8,67231,Dealer,Diesel,Manual,705000
Maruti Wagon R,8,64000,Dealer,CNG,Manual,270000
Honda City,7,63000,Dealer,Diesel,Manual,475000
Toyota Fortuner,6,80000,Individual,Diesel,Manual,1755000
Honda City,10,55000,Dealer,Petrol,Manual,350000
Hyundai i20,5,11000,Dealer,Petrol,Manual,575000
Renault KWID,4,17000,Individual,Petrol,Manual,360000
Maruti Alto,4,25000,Individual,Petrol,Manual,275000
Datsun GO,5,33350,Individual,Petrol,Manual,320000
Hyundai Grand,6,62000,Dealer,Petrol,Manual,370000
Maruti Swift Dzire,12,59000,Individual,Petrol,Manual,275000
Honda City,7,86113,Dealer,Petrol,Manual,550000
Maruti Swift Dzire,3,10000,Individual,Diesel,Manual,750000
Maruti Wagon R,6,92537,Individual,Petrol,Manual,272000
Maruti Ciaz,2,27645,Dealer,Diesel,Manual,951000
Maruti Alto,8,46242,Individual,Petrol,Manual,280000
Honda City,8,70000,Individual,Petrol,Manual,545000
Renault KWID,1,6000,Individual,Petrol,Manual,450000
Hyundai i20,4,64000,Dealer,Petrol,Manual,480000
Mahindra Scorpio,4,93000,Dealer,Diesel,Manual,1060000
Maruti Alto,8,26200,Dealer,Petrol,Manual,235000
Maruti Baleno,4,25000,Individual,Petrol,Manual,590000
Toyota Fortuner,3,50000,Dealer,Diesel,Automatic,2950000
Hyundai Santro,13,80000,Individual,Petrol,Manual,110000
Mahindra Scorpio,14,110000,Individual,Diesel,Manual,280000
Audi A4,5,55000,Dealer,Petrol,Automatic,1851000
Honda City,3,25000,Individual,Petrol,Manual,750000
Hyundai Grand,6,36000,Dealer,Petrol,Manual,400000
Maruti Swift Dzire,6,40000,Individual,Diesel,Manual,530000
Mahindra Thar,3,25000,Individual,Diesel,Manual,870000
Renault KWID,3,30038,Dealer,Petrol,Manual,295000
Tata Tiago,4,53000,Individual,Diesel,Manual,370000
Maruti Swift,3,5000,Individual,Petrol,Manual,530000
Renault KWID,4,35000,Individual,Petrol,Automatic,350000
Ford Ecosport,8,62000,Dealer,Diesel,Manual,470000
Ford Aspire,6,42000,Individual,Diesel,Manual,390000
Mahindra Scorpio,6,80000,Individual,Diesel,Manual,920000
Mahindra XUV500,8,60000,Individual,Diesel,Manual,550000
Hyundai Verna,7,45000,Individual,Diesel,Manual,635000
Mahindra XUV500,4,50000,Dealer,Diesel,Automatic,1250000
Maruti Alto,3,12000,Individual,Petrol,Manual,300000
Honda City,3,12000,Individual,Petrol,Automatic,960000
Maruti Vitara,3,15000,Individual,Diesel,Manual,750000
Volkswagen Polo,10,63000,Dealer,Petrol,Manual,249000
Tata Hexa,3,30000,Individual,Diesel,Manual,1400000
Ford Figo,10,160800,Individual,Diesel,Manual,250000
Hyundai Verna,7,120000,Individual,Diesel,Manual,610000
Ford Ecosport,5,78247,Dealer,Diesel,Manual,545000
Hyundai Verna,8,113000,Individual,Diesel,Manual,480000
Hyundai i20,7,52000,Dealer,Petrol,Manual,395000
Toyota Innova,9,109000,Dealer,Diesel,Manual,495000
Hyundai Grand,4,90000,Individual,Petrol,Manual,470000
Volkswagen Polo,10,98000,Dealer,Diesel,Manual,200000
Hyundai i20,5,20000,Individual,Diesel,Manual,699000
Maruti Wagon R,7,21717,Individual,Petrol,Manual,340000
Renault Duster,7,40000,Individual,Diesel,Manual,500000
Honda City,4,50000,Individual,Petrol,Manual,1050000
Renault Duster,5,90000,Individual,Diesel,Manual,600000
Maruti Swift,4,27876,Dealer,Petrol,Manual,491000
Land Rover Rover,5,56000,Dealer,Petrol,Automatic,2890000
Hyundai i10,13,57215,Individual,Petrol,Manual,160000
Hyundai Venue,2,5400,Dealer,Petrol,Manual,985000
Maruti Swift Dzire,7,60000,Individual,Diesel,Manual,500000
Tata Tiago,4,24800,Individual,Petrol,Manual,335000
Maruti Alto,16,70000,Individual,Petrol,Manual,85000
Honda Jazz,3,20000,Dealer,Petrol,Automatic,740000
Maruti Swift,8,34553,Dealer,Petrol,Manual,375000
Maruti Vitara,3,40000,Individual,Diesel,Manual,810000
Volkswagen Polo,11,350000,Individual,Petrol,Manual,173000
Maruti Vitara,4,50000,Individual,Diesel,Manual,700000
Mahindra KUV,5,70000,Individual,Diesel,Manual,310000
Mahindra Scorpio,4,120000,Individual,Diesel,Manual,850000
Hyundai i20,8,90000,Individual,Diesel,Manual,285000
Maruti Swift Dzire,7,120000,Individual,Diesel,Manual,450000
Hyundai Creta,4,80000,Individual,Diesel,Manual,1100000
Mahindra Scorpio,4,30000,Individual,Diesel,Manual,1080000
Honda City,7,66100,Dealer,Diesel,Manual,530000
Maruti Swift Dzire,4,50000,Individual,Diesel,Manual,680000
Mahindra Scorpio,4,42000,Dealer,Diesel,Manual,1025000
Hyundai i20,4,55000,Individual,Petrol,Manual,650000
Hyundai i10,9,110699,Dealer,Petrol,Manual,194000
Maruti Baleno,2,5000,Individual,Petrol,Automatic,686000
Maruti Alto,5,50000,Individual,Petrol,Manual,200000
Maruti Swift Dzire,11,44000,Dealer,Petrol,Manual,250000
Maruti Vitara,3,90000,Individual,Diesel,Manual,730000
Hyundai Verna,5,55000,Dealer,Petrol,Manual,650000
Maruti Vitara,4,45000,Dealer,Diesel,Manual,790000
Maruti Baleno,4,30000,Individual,Petrol,Manual,620000
Hyundai Verna,8,50000,Individual,Petrol,Manual,510000
Maruti Eeco,8,20000,Individual,Petrol,Manual,375000
Maruti Swift Dzire,4,19843,Trustmark Dealer,Petrol,Automatic,620000
Ford Endeavour,10,30000,Individual,Diesel,Automatic,950000
Toyota Innova,4,52300,Dealer,Diesel,Manual,1450000
Honda City,5,40000,Individual,Petrol,Automatic,845000
Maruti Swift Dzire,7,61500,Dealer,Diesel,Manual,390000
Honda Amaze,6,59000,Dealer,Petrol,Manual,395000
Hyundai Grand,3,40000,Individual,Petrol,Manual,450000
Audi A6,8,60000,Individual,Diesel,Automatic,1700000
Hyundai Grand,8,61000,Dealer,Petrol,Manual,325000
Mahindra KUV,5,70000,Individual,Diesel,Manual,350000
Mahindra XUV500,8,63000,Dealer,Diesel,Manual,650000
Mercedes-Benz E-Class,9,58000,Dealer,Petrol,Manual,1250000
Maruti Swift Dzire,4,22000,Individual,Diesel,Manual,750000
Honda City,11,57977,Dealer,Petrol,Manual,299000
Land Rover Rover,3,13000,Dealer,Petrol,Automatic,7000000
Mini Cooper,9,67000,Dealer,Petrol,Automatic,1325000
Maruti Ertiga,7,48242,Dealer,Diesel,Manual,524000
Ford Figo,9,68000,Dealer,Diesel,Manual,169000
Maruti Ertiga,7,40000,Individual,Diesel,Manual,500000
Audi Q7,9,98000,Dealer,Diesel,Automatic,2000000
Maruti Swift Dzire,8,113450,Individual,Diesel,Manual,380000
Maruti Wagon R,3,80000,Individual,Petrol,Automatic,400000
Hyundai Santro,1,1000,Dealer,Petrol,Automatic,565000
Maruti Wagon R,6,20292,Dealer,Petrol,Manual,335000
Mahindra Scorpio,11,67900,Dealer,Diesel,Manual,300000
Mahindra Scorpio,6,40000,Dealer,Diesel,Manual,1051000
Hyundai Grand,4,60000,Individual,Diesel,Manual,510000
Renault KWID,3,25000,Individual,Petrol,Automatic,370000
Maruti Wagon R,15,70000,Individual,Petrol,Manual,200000
Maruti Baleno,3,21000,Individual,Diesel,Manual,625000
Mahindra Scorpio,3,39000,Dealer,Diesel,Manual,1290000
Hyundai Creta,4,30000,Dealer,Petrol,Manual,890000
Hyundai Verna,9,61000,Dealer,Diesel,Manual,420000
Maruti Swift,4,5743,Trustmark Dealer,Petrol,Manual,500000
Hyundai Grand,3,24200,Individual,Petrol,Manual,600000
Maruti Baleno,4,57000,Individual,Diesel,Manual,590000
Hyundai i10,10,58000,Dealer,Petrol,Manual,190000
Datsun GO,4,15000,Individual,Petrol,Manual,500000
Maruti Celerio,4,10000,Individual,Petrol,Manual,450000
Mahindra XUV500,6,100000,Individual,Diesel,Manual,650000
BMW Z4,1,2000,Dealer,Petrol,Automatic,8250000
Maruti Wagon R,1,10000,Individual,Petrol,Manual,500000
Maruti Alto,12,43000,Individual,Petrol,Manual,140000
Honda Amaze,8,64000,Dealer,CNG,Manual,349000
Maruti Wagon R,7,30000,Individual,Petrol,Manual,325000
Honda City,7,63000,Dealer,Petrol,Manual,435000
Maruti Celerio,3,28000,Dealer,CNG,Manual,455000
Land Rover Rover,3,25000,Individual,Petrol,Automatic,6200000
Honda City,4,32226,Dealer,Petrol,Manual,755000
Maruti Alto,7,65000,Individual,Petrol,Manual,245000
Kia Seltos,2,14000,Dealer,Diesel,Manual,1350000
Renault KWID,3,15000,Individual,Petrol,Automatic,310000
BMW 6,3,30000,Individual,Petrol,Automatic,5500000
Maruti Swift Dzire,3,32000,Dealer,Diesel,Manual,675000
Maruti Wagon R,2,30000,Individual,Petrol,Manual,500000
Hyundai i10,11,25000,Individual,Petrol,Manual,300000
Mahindra Scorpio,5,35000,Individual,Diesel,Automatic,1450000
Mahindra Scorpio,8,140000,Individual,Diesel,Manual,530000
Ford Ecosport,7,65597,Trustmark Dealer,Diesel,Manual,575000
Hyundai i20,4,35000,Individual,Petrol,Manual,550000
Maruti Ciaz,7,160000,Individual,Diesel,Manual,500000
Maruti Baleno,1,7124,Individual,Petrol,Manual,643000
Ford Ecosport,2,15000,Individual,Petrol,Manual,1000000
Hyundai Grand,5,34000,Individual,Petrol,Manual,550000
Volkswagen Vento,10,280000,Individual,Diesel,Manual,300000
Tata Tigor,3,40000,Individual,Petrol,Manual,470000
Honda City,7,77000,Dealer,Diesel,Manual,525000
Datsun GO,4,15000,Individual,Petrol,Manual,469000
Maruti Alto,9,60000,Individual,Petrol,Manual,210000
Maruti Alto,8,120000,Individual,Petrol,Manual,200000
Renault KWID,2,2500,Individual,Petrol,Manual,400000
Jaguar XF,8,50000,Dealer,Diesel,Automatic,2150000
Maruti Celerio,5,46500,Individual,Petrol,Manual,340000
Maruti Alto,16,5000,Individual,Petrol,Manual,95000
Maruti Swift,9,68000,Individual,Diesel,Manual,381000
Mercedes-Benz C-Class,10,45000,Dealer,Diesel,Automatic,775000
Maruti Swift Dzire,4,20000,Individual,Diesel,Manual,700000
Maruti Ciaz,4,106000,Dealer,Diesel,Manual,675000
Honda City,6,28000,Dealer,Petrol,Automatic,670000
Mahindra XUV500,3,50000,Individual,Diesel,Manual,1050000
BMW X5,2,19000,Individual,Diesel,Automatic,7900000
Honda City,10,55000,Dealer,Petrol,Manual,360000
Ford Figo,4,53000,Individual,Diesel,Manual,400000
Hyundai Verna,7,89000,Dealer,Diesel,Manual,470000
Maruti Alto,3,22000,Individual,Petrol,Manual,304000
Honda City,7,69000,Dealer,Diesel,Manual,490000
Mahindra Scorpio,5,155000,Individual,Diesel,Manual,864000
Mahindra XUV500,8,85000,Dealer,Diesel,Manual,480000
Maruti Wagon R,2,3600,Dealer,Petrol,Automatic,575000
Maruti Baleno,2,5000,Individual,Petrol,Automatic,686000
Toyota Innova,6,143000,Dealer,Diesel,Manual,780000
Audi A6,3,24000,Dealer,Diesel,Automatic,3490000
MG Hector,2,28000,Dealer,Diesel,Manual,1699000
Maruti Swift,2,44000,Individual,Diesel,Manual,800000
Maruti Baleno,3,10000,Individual,Petrol,Automatic,680000
Toyota Fortuner,11,200000,Individual,Diesel,Manual,1200000
Toyota Innova,9,187031,Dealer,Diesel,Manual,525000
Ford Ecosport,2,22346,Dealer,Petrol,Manual,955000
Hyundai i20,9,120000,Individual,Diesel,Manual,350000
Maruti Vitara,1,1000,Dealer,Petrol,Manual,800000
Maruti Alto,16,56700,Individual,Petrol,Manual,75000
Mahindra XUV500,6,170000,Individual,Diesel,Manual,825000
Mahindra Marazzo,2,60000,Individual,Diesel,Manual,1476000
Honda Jazz,3,40000,Dealer,Petrol,Automatic,670000
Maruti Alto,9,28000,Dealer,Petrol,Manual,180000
Hyundai Grand,4,35000,Individual,Petrol,Manual,490000
Maruti Baleno,4,20000,Individual,Petrol,Manual,550000
Hyundai i10,7,40000,Individual,Petrol,Manual,350000
Toyota Innova,2,35000,Individual,Diesel,Manual,1500000
Ford Figo,9,74000,Dealer,Diesel,Manual,190000
Renault Duster,7,46500,Individual,Diesel,Manual,460000
Maruti Swift,2,8000,Dealer,Petrol,Automatic,650000
Maruti Ciaz,5,120000,Individual,Diesel,Manual,700000
Maruti Swift,4,34000,Individual,Petrol,Manual,455000
Maruti Swift,7,54000,Dealer,Petrol,Manual,365000
Maruti Swift Dzire,7,11275,Dealer,Petrol,Manual,470000
Toyota Fortuner,3,35000,Dealer,Diesel,Automatic,2950000
Maruti Swift,9,48000,Individual,Diesel,Manual,400000
Renault Duster,6,68000,Dealer,Diesel,Manual,550000
Honda Civic,2,23000,Dealer,Petrol,Automatic,1519000
Maruti Swift Dzire,3,31500,Individual,Diesel,Automatic,740000
Honda Amaze,8,73000,Dealer,Diesel,Manual,325000
Hyundai Grand,1,10000,Individual,Petrol,Automatic,600000
Honda Amaze,8,208000,Individual,Diesel,Manual,300000
Hyundai i10,11,30000,Individual,Petrol,Manual,300000
Maruti Wagon R,5,83000,Dealer,CNG,Manual,345000
Mahindra Scorpio,3,60000,Individual,Diesel,Manual,900000
Mahindra XUV500,5,83000,Dealer,Diesel,Manual,1025000
Isuzu D-Max,4,58132,Dealer,Diesel,Manual,1450000
Maruti Swift,6,34000,Individual,Petrol,Manual,400000
Honda Amaze,7,45120,Dealer,Diesel,Manual,367000
Hyundai Grand,2,15000,Individual,Petrol,Automatic,535000
Maruti Ertiga,2,15000,Individual,Petrol,Manual,805000
MG Hector,1,1000,Dealer,Petrol,Manual,1488000
Hyundai i10,9,64000,Individual,Petrol,Manual,250000
Mercedes-Benz E-Class,10,98000,Dealer,Diesel,Automatic,700000
Maruti Vitara,5,65000,Dealer,Diesel,Manual,675000
Maruti Swift,6,84000,Dealer,Diesel,Manual,425000
Maruti Alto,6,33000,Individual,Petrol,Manual,260000
Honda City,5,55670,Dealer,Petrol,Manual,700000
Maruti Baleno,4,50000,Individual,Diesel,Manual,560000
Hyundai Verna,15,148000,Individual,Diesel,Manual,155000
Porsche Cayenne,5,47000,Dealer,Diesel,Automatic,5975000
Maruti Ertiga,2,18000,Dealer,Petrol,Manual,800000
BMW 3,10,52420,Dealer,Diesel,Automatic,750000
Hyundai Grand,6,10000,Individual,Petrol,Manual,350000
Toyota Innova,5,40000,Individual,Diesel,Manual,1380000
Mahindra Scorpio,6,50000,Individual,Diesel,Manual,1000000
Maruti Ertiga,3,50000,Individual,Petrol,Manual,700000
Maruti Swift Dzire,12,76963,Individual,Petrol,Manual,230000
BMW 5,5,52890,Dealer,Diesel,Automatic,2800000
Maruti Alto,5,45000,Dealer,CNG,Manual,350000
Maruti Baleno,3,25000,Individual,Diesel,Manual,825000
Renault KWID,3,10103,Dealer,Petrol,Manual,325000
BMW X1,7,24000,Dealer,Diesel,Automatic,1675000
Mahindra XUV500,7,47240,Dealer,Diesel,Manual,800000
Maruti Celerio,2,30000,Individual,Petrol,Manual,400000
Toyota Innova,3,58000,Dealer,Diesel,Manual,1750000
Audi A4,8,65000,Dealer,Diesel,Automatic,1200000
Hyundai i20,6,35213,Dealer,Diesel,Manual,535000
Hyundai Grand,6,35000,Individual,Petrol,Manual,356000
Mahindra XUV500,9,92000,Dealer,Diesel,Manual,550000
Maruti Eeco,3,34500,Dealer,CNG,Manual,360000
Maruti Ertiga,4,50000,Individual,Diesel,Manual,700000
Hyundai Grand,5,30000,Individual,Petrol,Manual,390000
Toyota Fortuner,9,51000,Dealer,Diesel,Automatic,1245000
Mahindra XUV500,4,60000,Individual,Diesel,Automatic,1150000
Maruti Wagon R,10,83000,Dealer,Petrol,Manual,180000
Skoda Rapid,7,70000,Dealer,Petrol,Manual,425000
Ford Freestyle,2,50000,Individual,Petrol,Manual,650000
Maruti Swift,9,60000,Individual,Diesel,Manual,400000
Honda City,12,51000,Dealer,Petrol,Manual,275000
Maruti Alto,10,40000,Individual,Petrol,Manual,170000
Skoda Superb,11,100000,Individual,Petrol,Manual,235000
Mercedes-Benz C-Class,10,160000,Individual,Diesel,Automatic,700000
Maruti Alto,7,70000,Individual,Petrol,Manual,250000
Maruti Swift,8,70000,Individual,Petrol,Manual,350000
Hyundai i20,5,50000,Individual,Petrol,Manual,480000
Maruti Swift Dzire,4,30000,Dealer,Petrol,Automatic,690000
Maruti Ciaz,6,60000,Individual,Diesel,Manual,670000
Maruti Alto,10,50000,Individual,Petrol,Manual,250000
Mahindra Scorpio,4,42000,Dealer,Diesel,Manual,935000
Hyundai Verna,2,15000,Individual,Petrol,Manual,1030000
Maruti Wagon R,16,33650,Individual,Petrol,Manual,110000
